Aegis of the Immortal,4.75,13.15,5.65,13.71
Divine Rapier,4.33,15.51,7.35,16.29
Octarine Core,4.02,12.66,7.88,19.06
Refresher Orb,3.77,11.14,8.53,21.05
Butterfly,3.76,13.91,7.41,13.96
Boots of Travel,3.76,15.92,9.06,18.09
Eye of Skadi,3.72,13.59,7.43,14.01
Super Blink Dagger,3.7,4.52,3.23,7.45
Abyssal Blade,3.69,14.32,7.67,13.99
River Vial: Dry,3.67,9,5,9.33
Gem of True Sight,3.64,9.73,7.83,18.77
Shiva's Guard,3.63,11.47,8.6,19.76
Nullifier,3.6,14.79,8.14,14.57
Linken's Sphere,3.58,12.24,7.68,15.25
Radiance,3.58,10.53,7.5,16.3
Scythe of Vyse,3.5,13.27,8.69,17.17
Bloodstone,3.5,13.5,8.09,14.79
Assault Cuirass,3.45,11.4,8.06,16.4
Bloodthorn,3.44,14.85,8.46,14.23
Heart of Tarrasque,3.44,12.22,8.65,17.51
Mjollnir,3.42,12.5,8.24,15.69
Moon Shard,3.36,12.42,7.79,13.8
Ethereal Blade,3.35,14.07,8.31,13.8
River Vial: Chrome,3.33,6.33,4,7
Satanic,3.32,15.34,8.9,14.25
Manta Style,3.31,10.83,7.2,13.04
Monkey King Bar,3.26,13.24,8.3,13.84
Daedalus,3.26,13.08,8.49,14.55
Boots of Travel,3.24,11.87,8.61,16.03
Silver Edge,3.22,12.89,8.41,14.17
Eaglesong,3.19,10.47,7.27,12.69
Soul Booster,3.17,9.12,8.12,16.61
Diffusal Blade,3.17,10.79,7.72,13.66
Guardian Greaves,3.12,6.46,8.95,21.5
Aghanim's Scepter,3.12,9.87,8.53,16.74
Cheese,3.06,11.2,8.93,16.09
Sange and Yasha,3.04,11.65,8.27,13.49
Lotus Orb,3,8.7,9.5,19.83
Black King Bar,3,12.07,8.73,14.12
Hurricane Pike,3,10.69,8.35,14.34
Spirit Vessel,3,7.7,9.32,20.22
Skull Basher,2.91,10.92,7.99,12.37
Pipe of Insight,2.9,8.09,9.33,18.97
Mystic Staff,2.88,8.83,8.76,16.41
Kaya,2.88,10.2,8.89,15.42
Veil of Discord,2.88,9.13,8.93,16.59
Aeon Disk,2.87,9.16,10,19.56
Battle Fury,2.87,10.32,7.48,11.13
Desolator,2.84,11.19,8.36,12.55
Crimson Guard,2.82,8.75,9.25,17.34
Hyperstone,2.8,8.5,7.97,13.86
Helm of the Dominator,2.8,7.28,7.22,12.96
Meteor Hammer,2.8,5.91,8.15,16.89
Recipe: Boots of Travel,2.78,9.26,8.94,15.56
Heaven's Halberd,2.77,9.5,9.57,16.96
Echo Sabre,2.76,9.92,8.51,13.53
Solar Crest,2.76,7.59,9.03,17.31
Blink Dagger,2.75,8.87,8.7,15.08
Orchid Malevolence,2.74,10.6,8.26,12.04
Aether Lens,2.72,7.98,9.31,17.32
Reaver,2.71,9.03,8.96,15.25
Recipe: Abyssal Blade,2.7,10.33,8.12,11.55
Eul's Scepter of Divinity,2.69,8.26,9.17,16.44
Sacred Relic,2.67,8.35,7.71,12.28
Power Treads,2.63,8.96,8.13,12.46
Platemail,2.63,7.36,8.89,15.99
Blade Mail,2.62,8.98,9.56,16.08
Rod of Atos,2.62,7.96,9.69,17.44
Drum of Endurance,2.62,6.45,8.66,16.23
Maelstrom,2.6,8.64,8.32,13
Vladmir's Offering,2.6,9.08,8.71,13.54
Ring of Aquila,2.59,8.32,7.64,11.45
Phase Boots,2.58,9.19,8.28,12.16
Refresher Shard,2.57,9.52,11.07,18.92
Demon Edge,2.55,8.75,8.15,12.06
Ultimate Orb,2.54,8.39,8.43,12.98
Talisman of Evasion,2.53,8.67,8.64,13.19
Recipe: Refresher Orb,2.53,6.32,9.08,16.65
Bottle,2.51,8.61,8.21,12.04
Ghost Scepter,2.49,7.14,9.91,17.57
Vanguard,2.49,7.32,8.44,13.69
Crystalys,2.49,8.9,8.63,12.57
